modelName;type;maxPerturbation;size;clum_size;nlum_size;et_rel;et;|M*xt|_2;epsilon;max_deviation;norm_x0;compactum_bound;norm_fx0;max_allowed_slope;avg_per_err;avg_err;max_err;max_epsilon;consideredEpsilons;tolerance;t0;t1;secThisEpsilon;secTotal
NIHMS80246_S6_S2P_[e=0.030];paper/polynomial;0.0;24;19;14;8.094480613870911e-05;0.008093825466303883;99.99190624329985;0.02999982237833609;;141.4213562373095;141.4213562373095;587.5372328627352;;22.62818504229593;8.133423884429638;48.86969403828064;0.31304951684997057;20;1e-06;0.0;600.0;3.7237870693206787;5.625752925872803
NIHMS80246_S6_S2P_[e=0.023];paper/polynomial;0.0;24;19;17;8.094411716657254e-05;0.0080937565746666;99.99190624329985;0.023444918211200896;;141.4213562373095;141.4213562373095;587.5372328627352;;22.46603583236478;8.105910927329177;48.5732293114592;0.31304951684997057;20;1e-06;0.0;600.0;6.472294092178345;10.449549436569214
NIHMS80246_S6_S2P_[e=0.022];paper/polynomial;0.0;24;19;19;1.3209419107562147e-10;1.3208349969318078e-08;99.99190624329985;0.022314021099472527;;141.4213562373095;141.4213562373095;587.5372328627352;;3.581877007144265e-05;6.019747107898291e-06;0.00010342561457576949;0.31304951684997057;20;1e-06;0.0;600.0;7.631680011749268;13.175747156143188
NIHMS80246_S6_S2P_[e=0.000];paper/polynomial;0.0;24;19;19;0.0;0.0;99.99190624329985;0.0;;141.4213562373095;141.4213562373095;587.5372328627352;;0.0;0.0;0.0;0.31304951684997057;20;1e-06;0.0;600.0;5.567151784896851;5.5671546459198
BIOMD447_TGFb1_[e=24.500];paper/polynomial;0.0;13;13;3;0.3554022390509283;0.005393927990353948;0.015176966821475232;24.500024269829602;;0.0;0.0;0.03552112047782278;;37.86023941431275;0.0056504159701243825;0.020542537090386497;24.500024999987243;26;1e-06;0.0;500.0;0.18021297454833984;0.20455431938171387
BIOMD447_TGFb1_[e=17.525];paper/polynomial;0.0;13;13;5;0.006994817189803556;0.00010616010841193319;0.015176966821475232;17.524964110258786;;0.0;0.0;0.03552112047782278;;0.7377311550903383;0.00011299320172820775;0.0007010180406477294;24.500024999987243;26;1e-06;0.0;500.0;0.14769363403320312;0.17665958404541016
BIOMD447_TGFb1_[e=17.525];paper/polynomial;0.0;13;13;5;0.006994817189803556;0.00010616010841193319;0.015176966821475232;17.524964110258786;;0.0;0.0;0.03552112047782278;;0.7377311550903383;0.00011299320172820775;0.0007010180406477294;24.500024999987243;26;1e-06;0.0;500.0;0.027042627334594727;0.05446338653564453
BIOMD447_TGFb1_[e=1.400];paper/polynomial;0.0;13;13;7;0.008461323605399437;0.00012841722762491244;0.015176966821475232;1.3999984244935375;;0.0;0.0;0.03552112047782278;;0.6552871107313397;9.862489668910464e-05;0.00012897053190339368;24.500024999987243;26;1e-06;0.0;500.0;0.22367620468139648;0.25667238235473633
BIOMD447_TGFb1_[e=0.375];paper/polynomial;0.0;13;13;9;0.013450289677459388;0.0002041346001740319;0.015176966821475232;0.3746117599723773;;0.0;0.0;0.03552112047782278;;1.0275566833850465;0.0001563117245449335;0.0002043697372565937;24.500024999987243;26;1e-06;0.0;500.0;0.2759890556335449;0.3403773307800293
BIOMD447_TGFb1_[e=0.341];paper/polynomial;0.0;13;13;10;0.3720946484415021;0.005647268133845168;0.015176966821475232;0.3410361908910883;;0.0;0.0;0.03552112047782278;;29.504420957438775;0.004479366496060151;0.010904296528481645;24.500024999987243;26;1e-06;0.0;500.0;0.32282161712646484;0.3920156955718994
